player,match_id,sum_xG,goals,npgoals_perMatch,shots_perMatch,npxG_perMatch,xGChain_perMatch,xGBuildUp_perMatch,key_passes_perMatch,season,date,minutes_played,league,games,time,goals_total,xG,assists,xA,shots,key_passes,position,player_team,npg,npxG,xGChain,xGBuildup,opponent_team,opponent_team_strength,shots_per90,xG_per90,goals_per90,is_goals,finishing_efficiency,finishing_efficiency_hist,shots_hist,finishing_eff_weighted,finishing_form,xg_per_shot,goals_per_shot,shot_quality_raw,shot_quality_roll,shot_quality_shrunk,shot_quality_index,xG_last5,shots_last5,goals_last5,goals_last5_sum,xG_cummean,minutes_played_last5,sum_xG_ewm_7,shots_perMatch_ewm_7,minutes_played_ewm_7,goals_ewm_7,finishing_form_ewm_7,npgoals_perMatch_ewm_7,xGChain_perMatch_ewm_7
abdousalam konate,31562,0.0114925447851419,0.0,0,1,0.0114925447851419,0.0241969749331474,0.0241969749331474,0,2026,2026-08-22,87,Serie A,2,93.0,0,0.0114925447851419,0,0.0,1.0,0,M S,Parma Calcio 1913,0,0.0114925447851419,0.0241969749331474,0.0241969749331474,Cagliari,weak,0.97,0.01,0.0,0,0.0,0.16095972620826982,0.0,0.02703827473686654,0.45090996168582376,0.011492533292608608,0.0,-0.011492533292608608,-0.011492533292608608,-0.008710149056377495,0.4481034036491702,,,,,,67.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abdousalam konate,31574,0.0,0.0,0,0,0.0,0.0,0.0,0,2026,2026-08-29,6,Serie A,2,93.0,0,0.0114925447851419,0,0.0,1.0,0,M S,Parma Calcio 1913,0,0.0114925447851419,0.0241969749331474,0.0241969749331474,Juventus,top,0.97,0.01,0.0,0,0.0,0.16095972620826982,1.0,0.027491194023930864,0.3322681331747919,0.0,0.0,0.0,0.0,-0.00791831732397954,0.45667234698077414,0.0114925447851419,1.0,0.0,0.0,0.0114925447851419,42.6,0.0114925447851419,1.0,87.0,0.0,0.45090996168582376,0.0,0.0241969749331474
adam bakoune,31560,0.0,0.0,0,0,0.0,0.0691863894462585,0.0691863894462585,0,2026,2026-08-22,71,Serie A,3,119.0,0,0.0480223894119262,0,0.0,1.0,0,D S,Monza,0,0.0480223894119262,0.1172087788581848,0.0691863894462585,Inter,top,0.76,0.04,0.0,0,0.0,0.16095972620826982,1.0,0.027491194023930864,0.3322681331747919,0.0,0.0,0.0,0.0,-0.008710149056377495,0.4481034036491702,,,,,,67.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adam bakoune,31585,0.0,0.0,0,0,0.0,0.0,0.0,0,2026,2026-09-06,6,Serie A,3,119.0,0,0.0480223894119262,0,0.0,1.0,0,D S,Monza,0,0.0480223894119262,0.1172087788581848,0.0691863894462585,Parma Calcio 1913,weak,0.76,0.04,0.0,0,0.0,0.16095972620826982,0.0,0.02703827473686654,0.325744814374422,0.0,0.0,0.0,0.0,-0.008710149056377495,0.4481034036491702,0.0,0.0,0.0,0.0,0.0,57.2,0.0,0.0,71.0,0.0,0.3322681331747919,0.0,0.0691863894462585
adam bakoune,31595,0.0480223894119262,0.0,0,1,0.0480223894119262,0.0480223894119262,0.0,0,2026,2026-09-13,42,Serie A,3,119.0,0,0.0480223894119262,0,0.0,1.0,0,D S,Monza,0,0.0480223894119262,0.1172087788581848,0.0691863894462585,Lecce,weak,0.76,0.04,0.0,0,0.0,0.16095972620826982,0.0,0.02703827473686654,0.5192809486061567,0.04802234138958481,0.0,-0.04802234138958481,-0.04802234138958481,-0.008710149056377495,0.4481034036491702,0.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,54.75,0.0,0.33063730347469944,0.0,0.05188979208469388
adam marusic,7504,0.0363500006496906,0.0,0,1,0.0363500006496906,0.0972084999084472,0.0,2,2017,2017-08-20,22,Serie A,32,2534.0,3,3.434332263655961,5,3.1956538688391447,39.0,36,D S,Lazio,3,3.434332263655961,12.8241282440722,7.420293778181076,SPAL 2013,weak,1.39,0.12,0.11,0,0.0,0.16095972620826982,1.0,0.027491194023930864,0.5074729158409301,0.036349964299726305,0.0,-0.036349964299726305,-0.036349964299726305,-0.008710149056377495,0.4481034036491702,,,,,,61.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adam marusic,7516,0.0,0.0,0,0,0.0,0.0,0.0,0,2017,2017-08-27,8,Serie A,32,2534.0,3,3.434332263655961,5,3.1956538688391447,39.0,36,D S,Lazio,3,3.434332263655961,12.8241282440722,7.420293778181076,Chievo,weak,1.39,0.12,0.11,0,0.0,0.16095972620826982,1.0,0.027491194023930864,0.3322681331747919,0.0,0.0,0.0,0.0,-0.00791831732397954,0.45667234698077414,0.0363500006496906,1.0,0.0,0.0,0.0363500006496906,55.4,0.0363500006496906,1.0,22.0,0.0,0.5074729158409301,0.0,0.0972084999084472
adam marusic,7532,0.0,0.0,0,0,0.0,0.3659929931163788,0.0,1,2017,2017-09-17,22,Serie A,32,2534.0,3,3.434332263655961,5,3.1956538688391447,39.0,36,D S,Lazio,3,3.434332263655961,12.8241282440722,7.420293778181076,Genoa,weak,1.39,0.12,0.11,0,0.0,0.16095972620826982,1.0,0.027491194023930864,0.3322681331747919,0.0,0.0,0.0,0.0,-0.00791831732397954,0.45667234698077414,0.0181750003248453,0.5,0.0,0.0,0.0181750003248453,44.2,0.02726250048726795,0.75,18.5,0.0,0.46367172017439556,0.0,0.0729063749313354
adam marusic,7546,0.0192779004573822,0.0,0,1,0.0192779004573822,0.0280395001173019,0.0,1,2017,2017-09-20,66,Serie A,32,2534.0,3,3.434332263655961,5,3.1956538688391447,39.0,36,D S,Lazio,3,3.434332263655961,12.8241282440722,7.420293778181076,Napoli,top,1.39,0.12,0.11,0,0.0,0.0,1.0,0.0,0.3225905007266482,0.019277881179501022,0.0,-0.019277881179501022,-0.012116654766575434,-0.009019831393668217,0.44475212295345135,0.0121166668832302,0.3333333333333333,0.0,0.0,0.0121166668832302,55.2,0.020446875365450964,0.5625,19.375,0.0,0.4308208234244946,0.0,0.14617802947759623
adam marusic,7552,0.5502409934997559,1.0,1,3,0.5502409934997559,1.0036100149154663,0.0,2,2017,2017-09-24,90,Serie A,32,2534.0,3,3.434332263655961,5,3.1956538688391447,39.0,36,D S,Lazio,3,3.434332263655961,12.8241282440722,7.420293778181076,Verona,weak,1.39,0.12,0.11,1,1.817352466080452,0.0,2.0,0.0,0.527141960628881,0.18341360336205081,0.33333322222225925,0.14991961886020844,-0.013906961369806832,-0.009576284441949051,0.43873037055035313,0.0139069752767682,0.5,0.0,0.0,0.0139069752767682,68.6,0.020154631638433774,0.671875,31.03125,0.0,0.40376324275003306,0.0,0.11664339713752264
